iso3,date,renewables_share,co2_capita,greenhousegas_capita,inflation,gdp,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,poverty,infant_mortality_1000,life_expectancy,fertility,population,female_population
MAF,1999,0.0,,,,,,,,,,,,76.6731707317073,1.83,28122.0,
MAR,1999,6.39782861574254,1.1315912731681,48369.9989318848,0.569546370386192,99853032164.0253,,,,,,,45.6,68.245,2.842,28455504.0,14344077.0
MCO,1999,0.0,,,0.0462481362141176,,,,,,,,4.4,,,31836.0,
MDA,1999,6.23655913978495,2.50875932464882,12260.0002288818,39.7816660897245,8624632958.94773,8.1899995804,,,,,33.5,28.3,66.852,1.527,2929735.0,1527898.0
MDG,1999,61.847810107951,0.109275143294393,27020.0004577637,7.18914293986137,19104587199.3299,,,,,,66.9,70.3,57.782,5.653,15282524.0,7672441.0
MDV,1999,0.0,1.57208560920145,509.999990463257,2.75330661197941,2223344903.26589,,,,,,,34.9,69.348,2.993,273522.0,135507.0
MEX,1999,20.9075244112579,3.6434389381822,503029.998779297,16.102819047641,1018601794034.79,1.1000000238,1.7,,,,,24.8,73.988,2.766,97484823.0,49601521.0
MHL,1999,0.0,1.98341862033401,129.999995231628,3.11731097309666,118280944.010834,2.1,,,,,,33.7,67.5048780487805,5.71,50418.0,
MKD,1999,20.2389625528195,4.50637585256764,12039.999961853,2.73806691562446,11547068946.0865,5.0999999046,2.1779,,,,,15.6,72.790243902439,1.765,2017142.0,1006249.0
MLI,1999,30.6878306878307,,19280.0006866455,16.2860455817107,12137649017.9746,,,,,,,104.1,47.515,6.921,10642937.0,5368284.0
MLT,1999,0.0,6.21810319471177,2680.0000667572,0.765630178547383,5856495175.74355,5.5700001717,,,,,,7.1,77.5,1.73,387578.0,195439.0
MMR,1999,22.3755119637853,0.188605397340794,71459.9990844727,28.3523645026101,33524972562.2361,,0.297,,,,,66.9,59.744,2.906,46181075.0,23796858.0
MNE,1999,0.0,1.99669637508849,3759.99999046326,,,,1.8578,,,,,12.9,73.2386341463415,1.888,606001.0,306000.0
MNG,1999,0.0,3.62338967472818,29000.0,10.8817569804571,8633625608.92873,,2.54,,,,,51.9,62.446,2.214,2376228.0,1192089.0
MNP,1999,0.0,,,,,,0.445,,,,,,,,55633.0,
MOZ,1999,99.6887159533074,0.0713284299580334,20819.9996948242,9.35341545901139,8178183272.56248,,,,,,,119.0,48.572,5.84,17244176.0,9005611.0
MRT,1999,0.0,0.507498485312213,8800.00019073486,4.7745193014141,8131170157.74923,,,,,,,69.3,60.643,5.455,2561584.0,1288820.0
MUS,1999,20.7570977917981,1.8719150627049,3869.99988555908,6.57191240445168,9671785042.87328,,,,,,,18.1,70.9609756097561,2.05,1175267.0,591986.0
MWI,1999,82.5168918918919,0.0727820477090929,3769.99998092651,39.6907783221822,10354561644.6489,,,,,,,106.4,45.136,6.133,10854325.0,5490940.0
MYS,1999,11.5355724863183,5.05046203674256,147929.992675781,0.045452820569551,268736420543.215,,0.683,,,,,9.4,72.418,2.913,22661293.0,11121621.0
NAM,1999,96.6914805624483,1.12253743350525,9869.99988555908,6.78525613443288,8811665858.07857,,,,,,,45.8,53.231,4.014,1763861.0,913295.0
NCL,1999,29.1358024691358,,,6.11501690527531,,,1.982,,,,,,73.8756097560976,2.48,209214.0,103207.0
NER,1999,0.0,0.0594697748071761,18530.0006866455,0.37974663716507,8705873816.81499,,,,,,,100.2,49.279,7.689,10929922.0,5521898.0
NGA,1999,38.2124432842315,0.729665938859411,225839.996337891,13.4305716332005,262283952796.102,,,,,,,112.7,46.103,6.131,119260055.0,59154807.0
NIC,1999,27.3776546629732,0.709270871547639,11720.0002670288,9.22623261781912,13237700346.9383,,,,,,,33.0,69.1,3.218,4991041.0,2521582.0
NLD,1999,2.89091328413284,10.2105427189629,207940.002441406,1.28336999636159,462796668420.942,5.0,2.3768,,,,0.2,5.2,77.8365853658537,1.65,15812088.0,7980350.0
NOR,1999,99.5608691030118,8.89752892985587,53250.0,6.665970402608,136333970612.487,3.9000000954,,,,,,4.0,78.2829268292683,1.85,4461913.0,2252100.0
NPL,1999,95.4668470906631,0.132709649025088,26379.9991607666,8.8870474316757,29758555947.4005,0.200000003,,,,,,61.8,61.6,4.135,23509971.0,11773455.0
NRU,1999,0.0,8.61326442721792,100.000001490116,,,,,,,,,35.4,,,10449.0,
NZL,1999,69.524288018616,7.46004015540664,77010.0021362305,0.514673087855996,78923926226.423,,2.2,,,,,6.3,77.890243902439,1.97,3835100.0,1951226.0
OMN,1999,0.0,9.74766929590607,34250.0,11.0382944317452,85154027074.3743,,0.9641,,,,,15.1,71.664,3.989,2254898.0,975357.0
PAK,1999,29.3219823654606,0.712499673128061,230500.0,5.86228617975773,394022016362.823,,0.6284,,,,,86.7,62.564,5.172,138624625.0,67055726.0
PAN,1999,68.8646288209607,1.68618910156412,9909.99984741211,0.842387065816723,24112353543.6219,,1.2325,,,,12.3,22.4,74.881,2.767,2971197.0,1473637.0
PER,1999,77.0693277310924,1.11472011494616,61869.9989318848,2.9345454117468,126920330410.656,,1.1427,,,,19.3,31.7,70.7,2.917,26078295.0,13079204.0
PHL,1999,44.4921799575208,0.937820250777956,137300.003051758,6.33463973024264,251014110280.807,,,,,,,29.2,68.744,3.85,76325927.0,37867397.0
PLW,1999,0.0,10.6535982528099,219.999998807907,,,,,,,,,25.9,,,18773.0,
PNG,1999,55.0586191923578,0.45485033149842,13149.9996185303,11.0688942082222,12192508478.8397,,,,,,,54.3,59.049,4.569,5716166.0,2810786.0
POL,1999,1.67998800008571,7.9921840175409,368339.996337891,6.16457686364144,388183852269.954,5.0999999046,2.2693,,,,,8.6,73.0439024390244,1.37,38660271.0,19883133.0
PRI,1999,0.724867485162869,,,1.47277776354309,82753187706.5697,,,,,,,,75.375487804878,2.0,3800081.0,1972553.0
PRK,1999,55.3763440860215,2.92897907614422,83690.0024414063,,,,,,,,,49.4,64.684,1.999,22731470.0,11650473.0
PRT,1999,20.091345481661,6.08837807800249,79150.0015258789,3.37052757718268,181041025245.14,3.7999999523,3.1149,,,,,5.9,75.9634146341463,1.5,10217828.0,5292683.0
PRY,1999,99.9711371945353,0.818580669303762,31579.9999237061,10.6801279115958,35417039691.3586,,,,,,10.2,28.5,70.31,3.678,5216346.0,2569977.0
PSE,1999,0.0,,,-3.02934104454894,8693635940.79534,,,,,,,26.1,70.797,5.55,2848431.0,1402482.0
PYF,1999,34.5367123287671,,,0.930593251939854,,,,,,,,,71.946,2.52,236217.0,114502.0
QAT,1999,0.0,50.8338504362947,37400.0015258789,,,,,,,,,11.2,77.327,3.329,570486.0,197499.0
ROU,1999,36.0678367185959,3.78203313984845,116910.003662109,49.5224630026867,125764153624.448,7.3099999428,,,,,,19.2,70.5121951219512,1.3,22472040.0,11469109.0
RUS,1999,18.9924374251047,10.3503197260579,2124199.95117188,72.3866054689099,870676186417.134,10.8500003815,2.3739,,,,4.4,16.1,65.9821951219512,1.157,147214776.0,78275119.0
RWA,1999,96.969696969697,0.0706550038806928,2430.0000667572,11.0347781094573,4512730439.17939,,,,,,,117.8,46.639,5.737,7501238.0,3840424.0
SAU,1999,0.0,11.8606369219468,330980.010986328,14.4883290133917,762084694876.985,,,,,,,19.9,72.327,4.137,20194531.0,9195460.0
SDN,1999,49.9380932728023,0.199425294608622,73120.002746582,15.823578015666,81424921242.5271,,,,,,,68.8,58.096,5.542,26626512.0,13274739.0
SEN,1999,3.57653791130186,0.413848585970303,16700.0007629395,-0.525447722709572,18418554573.0658,,,,,,,69.5,57.523,5.541,9568717.0,4859290.0
SGP,1999,0.829945799457995,9.54853370645029,50020.0004577637,-3.57782977150977,158126116538.266,,1.3465,,,,,3.3,77.5512195121951,1.47,3958723.0,1927542.0
SLB,1999,0.0,0.572720572122951,519.999980926514,7.67457996082904,768015706.397739,,0.1345,,,,,25.9,67.057,4.789,401592.0,195091.0
SLE,1999,0.0,0.0448191926539551,2369.99988555908,17.1938503921987,2909673946.40742,,,,,,,140.6,38.634,6.39,4462374.0,2250084.0
SLV,1999,64.1965255157438,0.959821955593606,10510.0002288818,0.994105168134183,25402380681.1696,,1.2435,,,,17.3,28.9,68.581,3.144,5844834.0,3024616.0
SMR,1999,0.0,,,1.55463608639049,1377385408.97657,,,,,,,5.4,,,27141.0,
SOM,1999,0.0,0.0584549537358269,25030.0006866455,,,,,,,,,104.4,50.392,7.664,8553595.0,4269277.0
SRB,1999,41.0655492367555,5.30608385416107,57819.9996948242,27.8958985102444,41683527791.6665,,,,,,,11.4,,,7540401.0,3836936.0
SSD,1999,0.0,0.0707799478385489,49930.0003051758,,,,,,,,,113.6,48.754,6.303,5933884.0,2979111.0
STP,1999,28.5714285714286,0.357234717498785,70.0000002980232,,,,,,,,,57.4,60.742,5.226,139964.0,70797.0
SUR,1999,0.0,4.61988052774077,3410.00008583069,73.9731867593173,3439489286.31788,,,,,,18.4,28.4,67.781,2.923,465380.0,230089.0
SVK,1999,15.918875644903,7.53518333883121,48610.0006103516,7.21505506002585,57813914070.6221,8.0,3.3192,,,,,8.5,72.9024390243902,1.33,5396020.0,2774868.0
